khizarhussain16, 35903, 4, 2016-3-8 23:28:46
Avatar_ID: 0, x :26, y: 14
Avatar_ID: 1, x :12, y: 5
Avatar_ID: 2, x :3, y: 11
Avatar_ID: 3, x :21, y: 32
Avatar_ID: 0, x :26, y: 14
Avatar_ID: 1, x :11, y: 5
Avatar_ID: 2, x :2, y: 11
Avatar_ID: 3, x :20, y: 32
Avatar_ID: 0, x :26, y: 14
Avatar_ID: 1, x :11, y: 5
Avatar_ID: 2, x :2, y: 11
Avatar_ID: 3, x :20, y: 32
Avatar_ID: 0, x :27, y: 14
Avatar_ID: 1, x :11, y: 5
Avatar_ID: 2, x :1, y: 11
Avatar_ID: 3, x :20, y: 32
Avatar_ID: 0, x :27, y: 13
Avatar_ID: 1, x :11, y: 5
Avatar_ID: 2, x :1, y: 11
Avatar_ID: 3, x :20, y: 31
Avatar_ID: 0, x :27, y: 13
Avatar_ID: 1, x :12, y: 5
Avatar_ID: 2, x :1, y: 11
Avatar_ID: 3, x :20, y: 31
Avatar_ID: 0, x :27, y: 12
Avatar_ID: 1, x :12, y: 4
Avatar_ID: 2, x :1, y: 10
Avatar_ID: 3, x :20, y: 31
Avatar_ID: 0, x :26, y: 12
Avatar_ID: 1, x :11, y: 4
Avatar_ID: 2, x :1, y: 10
Avatar_ID: 3, x :21, y: 31
Avatar_ID: 0, x :26, y: 12
Avatar_ID: 1, x :11, y: 4
Avatar_ID: 2, x :1, y: 9
Avatar_ID: 3, x :21, y: 30
Avatar_ID: 0, x :25, y: 12
Avatar_ID: 1, x :11, y: 4
Avatar_ID: 2, x :0, y: 9
Avatar_ID: 3, x :21, y: 30
Avatar_ID: 0, x :25, y: 13
Avatar_ID: 1, x :11, y: 3
Avatar_ID: 2, x :0, y: 9
Avatar_ID: 3, x :21, y: 29
Avatar_ID: 0, x :26, y: 13
Avatar_ID: 1, x :11, y: 3
Avatar_ID: 2, x :0, y: 8
Avatar_ID: 3, x :21, y: 29
Avatar_ID: 0, x :26, y: 13
Avatar_ID: 1, x :11, y: 2
Avatar_ID: 2, x :0, y: 7
Avatar_ID: 3, x :21, y: 28
Avatar_ID: 0, x :26, y: 13
Avatar_ID: 1, x :10, y: 2
Avatar_ID: 2, x :0, y: 7
Avatar_ID: 3, x :21, y: 28
Avatar_ID: 0, x :26, y: 13
Avatar_ID: 1, x :10, y: 3
Avatar_ID: 2, x :1, y: 7
Avatar_ID: 3, x :21, y: 27
Avatar_ID: 0, x :25, y: 13
Avatar_ID: 1, x :10, y: 3
Avatar_ID: 2, x :1, y: 7
Avatar_ID: 3, x :20, y: 27
Avatar_ID: 0, x :25, y: 13
Avatar_ID: 1, x :10, y: 4
Avatar_ID: 2, x :2, y: 7
Avatar_ID: 3, x :20, y: 28
Avatar_ID: 0, x :24, y: 13
Avatar_ID: 1, x :10, y: 4
Avatar_ID: 2, x :2, y: 6
Avatar_ID: 3, x :20, y: 28
Avatar_ID: 0, x :24, y: 14
Avatar_ID: 1, x :10, y: 5
Avatar_ID: 2, x :1, y: 6
Avatar_ID: 3, x :20, y: 28
Avatar_ID: 0, x :24, y: 14
Avatar_ID: 1, x :10, y: 5
Avatar_ID: 2, x :1, y: 6
Avatar_ID: 3, x :19, y: 28
Avatar_ID: 0, x :24, y: 14
Avatar_ID: 1, x :10, y: 6
Avatar_ID: 2, x :1, y: 6
Avatar_ID: 3, x :19, y: 28
Avatar_ID: 0, x :23, y: 14
Avatar_ID: 1, x :10, y: 6
Avatar_ID: 2, x :1, y: 5
Avatar_ID: 3, x :19, y: 28
Avatar_ID: 0, x :23, y: 15
Avatar_ID: 1, x :10, y: 6
Avatar_ID: 2, x :1, y: 5
Avatar_ID: 3, x :19, y: 27
Avatar_ID: 0, x :23, y: 15
Avatar_ID: 1, x :10, y: 6
Avatar_ID: 2, x :1, y: 5
Avatar_ID: 3, x :18, y: 27
Avatar_ID: 0, x :23, y: 15
Avatar_ID: 1, x :10, y: 5
Avatar_ID: 2, x :2, y: 5
Avatar_ID: 3, x :18, y: 27
Avatar_ID: 0, x :22, y: 15
Avatar_ID: 1, x :9, y: 5
Avatar_ID: 2, x :2, y: 4
Avatar_ID: 3, x :17, y: 27
Avatar_ID: 0, x :22, y: 16
Avatar_ID: 1, x :9, y: 6
Avatar_ID: 2, x :2, y: 4
Avatar_ID: 3, x :17, y: 27
Avatar_ID: 0, x :22, y: 16
Avatar_ID: 1, x :9, y: 6
Avatar_ID: 2, x :2, y: 3
Avatar_ID: 3, x :17, y: 27
Avatar_ID: 0, x :22, y: 16
Avatar_ID: 1, x :9, y: 7
Avatar_ID: 2, x :2, y: 3
Avatar_ID: 3, x :17, y: 27
Avatar_ID: 0, x :21, y: 16
Avatar_ID: 1, x :9, y: 7
Avatar_ID: 2, x :2, y: 2
Avatar_ID: 3, x :18, y: 27
Avatar_ID: 0, x :21, y: 17
Avatar_ID: 1, x :9, y: 8
Avatar_ID: 2, x :1, y: 2
Avatar_ID: 3, x :18, y: 27
Avatar_ID: 0, x :22, y: 17
Avatar_ID: 1, x :9, y: 8
Avatar_ID: 2, x :1, y: 2
Avatar_ID: 3, x :19, y: 27
Avatar_ID: 0, x :22, y: 17
Avatar_ID: 1, x :9, y: 8
Avatar_ID: 2, x :0, y: 2
Avatar_ID: 3, x :19, y: 27
Avatar_ID: 0, x :22, y: 17
Avatar_ID: 1, x :9, y: 8
Avatar_ID: 2, x :0, y: 3
Avatar_ID: 3, x :19, y: 27
Avatar_ID: 0, x :22, y: 18
Avatar_ID: 1, x :9, y: 7
Avatar_ID: 2, x :1, y: 3
Avatar_ID: 3, x :19, y: 28
Avatar_ID: 0, x :23, y: 18
Avatar_ID: 1, x :8, y: 7
Avatar_ID: 2, x :1, y: 3
Avatar_ID: 3, x :20, y: 28
Avatar_ID: 0, x :23, y: 17
Avatar_ID: 1, x :8, y: 8
Avatar_ID: 2, x :1, y: 3
Avatar_ID: 3, x :20, y: 27
Avatar_ID: 0, x :23, y: 17
Avatar_ID: 1, x :8, y: 8
Avatar_ID: 2, x :1, y: 4
Avatar_ID: 3, x :20, y: 27
Avatar_ID: 0, x :23, y: 16
Avatar_ID: 1, x :8, y: 9
Avatar_ID: 2, x :1, y: 4
Avatar_ID: 3, x :20, y: 27
Avatar_ID: 0, x :23, y: 16
Avatar_ID: 1, x :9, y: 9
Avatar_ID: 2, x :1, y: 4
Avatar_ID: 3, x :21, y: 27
Avatar_ID: 0, x :23, y: 16
Avatar_ID: 1, x :9, y: 9
Avatar_ID: 2, x :0, y: 4
